wtc1f01	Shi05M	0.22393336563914965	726
wtc1f03	Denisova06M	0.34837422008625524	1413
wtc1f03	Lee01M	0.576986610401663	1409
wtc1f03	LeeSH01M	0.4475338066809982	1406
wtc1f03	Lin04M	0.42295864475220124	1403
wtc1f03	Lou01M	0.4491573231010527	1413
wtc1f03	MiyashitaM01M	0.32762747161947997	1413
wtc1f03	Mizumoto03M	0.38905429767113203	1405
wtc1f03	SunY01M	0.5474306478455359	1411
wtc1f03	Zhou01M	0.46861320035307924	1411
wtc1f03	m2013_01	0.5110108853103346	1403
wtc1f03	m2013_02	0.3621947922857124	1392
wtc1f04	m2014_01	0.24318217518390203	1307
wtc1f04	m2017_02	0.4090205023301697	1305
wtc1f04	m2018_03	0.13500509545504713	1307
wtc1f05	m2011_01	0.40122053329904894	765
wtc1f05	m2017_02	0.3607096924249859	768
wtc1f06	m2011_01	0.5476809128302901	715
wtc1f08	m2015_01	0.38312730878741263	1375
wtc1f08	m2017_02	0.41874243309150444	1374
wtc1f08	m2017_03	0.3545385089859343	1373
wtc1f08	m2017_04	0.3471880225791853	1369
wtc1f08	m2017_05	0.46440871295560826	1365
wtc1f09	LuA01M	0.42750818561662207	728
wtc1f09	MiyashitaM01M	0.4551088520209116	726
wtc1f09	Ozaki01M	0.3308696332030879	728
wtc1f09	Richardson01M	0.4014195683844375	724
wtc1f09	WangA01M	0.4134314174155243	726
wtc1f09	m2013_01	0.4581379555182905	725
wtc1f10	m2015_01	0.5749733798246464	810
wtc1f11	LuoJ01M	0.486679737960149	684
wtc1f12	Bult-ItoS02M	0.28676856403350964	1315
wtc1f12	Lan01M	0.22689414759997692	1309
wtc1f12	Lisiecki04M	0.39018557213295424	1307
wtc1f12	ToA01M	0.4617380040440375	1317
wtc1f12	WangA01M	0.14610954537031387	1315
wtc1f12	YuP01M	0.3498441879455143	1316
wtc1f12	m2011_01	0.2222560065425717	1299
wtc1f13	VuV01M	0.5164246133506626	858
wtc1f13	Zhang01M	0.5701263461877089	860
wtc1f15	Ko04M	0.26357984189784206	1713
wtc1f15	Nikiforov05M	0.3702859664729998	1711
wtc1f15	Tetzloff04M	0.30249473748626227	1713
wtc1f15	TuanS01M	0.2544293827862929	1707
wtc1f15	YoungS01M	0.4213038720621855	1708
wtc1f15	ZhangH04M	0.3241214927399584	1712
wtc1f15	m2013_01	0.23853336200136593	1679
wtc1f17	Song04M	0.33626727331390566	859
wtc1f17	m2013_01	0.33758528842757496	872
wtc1f18	LeeN01M	0.5839499302149136	780
wtc1f18	Shychko01M	0.39208285915712143	792
wtc1f18	TongB01M	0.4937447187912388	790
wtc1f18	m2013_01	0.3694174882187437	793
wtc1f19	SunD01M	0.40872939266749797	1176
wtc1f20	Rizikov01M	0.31876116558620865	2364
